MID,Title,Description,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,PID,DID
206,X: First Class,"In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.",2011,132,7.8,550011,146.41,65,305,D150
207,Raw (II),"When a young vegetarian undergoes a carnivorous hazing ritual at vet school, an unbidden taste for meat begins to grow in her.",2016,99,7.5,5435,0.51,81,306,D150
208,Paterson,"A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.",2016,118,7.5,26089,2.14,90,307,D150
209,Bridesmaids,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",2011,125,6.8,227912,169.08,75,308,D151
210,The Girl with All the Gifts,A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.,2016,111,6.7,23713,82.95637615,67,309,D151
211,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.",2015,114,6.1,161396,155.18,43,310,D152
212,Spring Breakers,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.",2012,94,5.3,114290,14.12,63,311,D152
213,Transformers,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",2007,144,7.1,531112,318.76,61,312,D153
214,Old Boy,"Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason.",2013,104,5.8,54679,82.95637615,49,313,D154
215,Thor: The Dark World,"When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.",2013,112,7,443584,206.36,54,314,D155
216,Gods of Egypt,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",2016,126,5.5,73568,31.14,25,315,D155
217,Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",2014,136,7.8,542362,259.75,70,316,D156
218,Monster Trucks,A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.,2016,104,5.7,7044,33.04,41,317,D157
219,A Dark Song,A determined young woman and a damaged occultist risk their lives and souls to perform a dangerous ritual that will grant them what they want.,2016,100,6.1,1703,82.95637615,67,318,D157
220,Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",2010,117,7.7,456749,48.04,66,319,D157
221,Hardcore Henry,"Henry is resurrected from death with no memory, and he must save his wife from a telekinetic warlord with a plan to bio-engineer soldiers.",2015,96,6.7,61098,9.24,51,320,D157
222,Cars,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",2006,117,7.1,283445,244.05,73,321,D158
223,It Follows,A young woman is followed by an unknown supernatural force after a sexual encounter.,2014,100,6.9,136399,14.67,83,322,D159
224,The Girl with the Dragon Tattoo,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",2011,158,7.8,348551,102.52,71,323,D160
225,We're the Millers,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,2013,110,7,334867,150.37,44,324,D161
226,American Honey,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",2016,163,7,19660,0.66,79,325,D162
227,The Lobster,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",2015,119,7.1,121313,8.7,82,134,D163
228,Predators,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,2010,107,6.4,179450,52,51,326,D164
229,Maleficent,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",2014,97,7,268877,241.41,56,323,D164
230,Rupture,A single mom tries to break free from a mysterious organization that has abducted her.,2016,102,4.8,2382,82.95637615,35,327,D164
231,Pan's Labyrinth,"In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",2006,118,8.2,498879,37.62,98,328,D164
232,A Kind of Murder,"In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman.",2016,95,5.2,3305,0,50,329,D164
233,Apocalypto,"As the Mayan kingdom faces its decline, the rulers insist the key to prosperity is to build more temples and offer human sacrifices. Jaguar Paw, a young man captured for sacrifice, flees to avoid his fate.",2006,139,7.8,247926,50.86,68,330,D164
234,Mission: Impossible - Rogue Nation,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",2015,131,7.4,257472,195,75,122,D165
235,The Huntsman: Winter's War,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",2016,114,6.1,66766,47.95,35,331,D165
236,The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,2012,102,8,377336,17.74,67,332,D166
237,Jackie,"Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.",2016,100,6.8,41446,13.96,81,333,D167
238,The Disappointments Room,A mother and her young son release unimaginable horrors from the attic of their rural dream home.,2016,85,3.9,4895,2.41,31,334,D167
239,The Grand Budapest Hotel,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",2014,99,8.1,530881,59.07,88,335,D167
240,The Host,"When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie will risk everything to protect the people she cares most about, proving that love can conquer all in a dangerous new world.",2013,125,5.9,96852,26.62,35,336,D167
241,Fury,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",2014,134,7.6,332234,85.71,64,337,D167
242,Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",2015,95,8.2,416689,356.45,94,338,D168
243,Rock Dog,"When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",2016,90,5.8,1109,9.4,48,339,D168
244,Terminator Genisys,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",2015,126,6.5,205365,89.73,38,340,D168
245,Percy Jackson & the Olympians: The Lightning Thief,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,2010,118,5.9,148949,88.76,47,341,D168
246,Les Misérables,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",2012,158,7.6,257426,148.78,63,342,D169
247,Children of Men,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",2006,109,7.9,382910,35.29,84,343,D170
248,20th Century Women,"The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",2016,119,7.4,14708,5.66,83,344,D171
249,Spy,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",2015,119,7.1,188017,110.82,75,345,D171
250,The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2011,112,8.6,557965,13.18,57,346,D171
251,Bonjour Anne,"Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary »",2016,92,4.9,178,0.32,50,347,D172
252,Kynodontas,"Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out.",2009,94,7.3,50946,0.11,73,348,D173
253,Straight Outta Compton,"The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",2015,147,7.9,139831,161.03,72,349,D174
254,The Amazing Spider-Man 2,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",2014,142,6.7,342183,202.85,53,350,D175
255,The Conjuring,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,2013,112,7.5,330305,137.39,68,351,D176
256,The Hangover,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",2009,100,7.8,611563,277.31,73,352,D177
257,Battleship,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,2012,131,5.8,210349,65.17,41,353,D178
258,Rise of the Planet of the Apes,"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",2011,105,7.6,422290,176.74,68,354,D178
259,Lights Out,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.",2016,81,6.4,69823,67.24,58,355,D179
260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.",2016,118,7.1,664,2.27,76,356,D180
261,Birdman or (The Unexpected Virtue of Ignorance),"Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown.",2014,119,7.8,440299,42.34,88,357,D181
262,Black Swan,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",2010,108,8,581518,106.95,79,358,D181
263,Dear White People,The lives of four black students at an Ivy League college.,2014,108,6.2,21715,4.4,79,359,D181
264,Nymphomaniac: Vol. I,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,2013,117,7,90556,0.79,64,360,D182
265,Teenage Mutant Ninja Turtles: Out of the Shadows,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",2016,112,6,59312,0.54,40,361,D183
266,Knock Knock,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",2015,99,4.9,53441,0.03,53,362,D183
267,Dirty Grandpa,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break.",2016,102,6,75137,35.54,18,363,D183
268,Cloud Atlas,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",2012,172,7.5,298651,27.1,55,364,D184
269,X-Men Origins: Wolverine,"A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",2009,107,6.7,388447,179.88,40,365,D184
270,Satanic,"Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites, only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror.",2016,85,3.7,2384,82.95637615,58.98504274,366,D184
271,Skyfall,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",2012,143,7.8,547386,304.36,81,367,D185
272,The Hobbit: An Unexpected Journey,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",2012,169,7.9,668651,303,58,368,D186
273,21 Jump Street,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,2012,110,7.2,432046,138.45,69,369,D186
274,Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,2016,106,8,52144,3.23,79,370,D186
275,Ballerina,"An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.",2016,89,6.8,4729,82.95637615,58.98504274,371,D187
276,Oblivion,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,2013,124,7,410125,89.02,54,372,D187
277,22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",2014,112,7.1,280110,191.62,71,373,D188
278,Zodiac,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",2007,157,7.7,329683,33.05,78,374,D189
279,Everybody Wants Some!!,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.",2016,117,7,36312,3.37,83,375,D190
280,Iron Man Three,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013,130,7.2,591023,408.99,62,376,D191
281,Now You See Me,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,2013,115,7.3,492324,117.7,50,377,D192
282,Sherlock Holmes,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,2009,128,7.6,501769,209.02,57,378,D193
283,Death Proof,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.",2007,113,7.1,220236,82.95637615,58.98504274,379,D194
284,The Danish Girl,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,2015,119,7,110773,12.71,66,380,D194
285,Hercules,"Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.",2014,98,6,122838,72.66,47,381,D194
286,Sucker Punch,"A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.",2011,110,6.1,204874,36.38,33,382,D195
287,Keeping Up with the Joneses,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,2016,105,5.8,30405,14.9,34,383,D195
288,Jupiter Ascending,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,2015,127,5.3,150121,47.38,40,384,D196
289,Masterminds,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.,2016,95,5.8,26508,17.36,47,385,D197
290,Iris,"Iris, young wife of a businessman, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police.",2016,99,6.1,726,82.95637615,58.98504274,203,D197
291,Busanhaeng,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",2016,118,7.5,58782,2.13,72,386,D198
292,Pitch Perfect,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",2012,112,7.2,226631,65,66,387,D199
293,Neighbors 2: Sorority Rising,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",2016,92,5.7,76327,55.29,58,388,D200
294,The Exception,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.",2016,107,7.7,96,82.95637615,58.98504274,389,D200
295,Man of Steel,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",2013,143,7.1,577010,291.02,55,390,D201
296,The Choice,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,2016,111,6.6,20514,18.71,26,391,D202
297,Ice Age: Collision Course,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",2016,94,5.7,34523,64.06,34,392,D203
298,The Devil Wears Prada,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",2006,109,6.8,302268,124.73,62,393,D204
299,The Infiltrator,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,2016,127,7.1,43929,15.43,66,394,D205
300,There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",2007,158,8.1,400682,40.22,92,395,D206
301,The Equalizer,"A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.",2014,132,7.2,249425,101.53,57,396,D207
302,Lone Survivor,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",2013,121,7.5,218996,125.07,60,397,D207
303,The Cabin in the Woods,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",2012,95,7,295554,42.04,72,398,D207
304,The House Bunny,"After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",2008,97,5.5,67033,48.24,55,399,D207
305,She's Out of My League,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",2010,104,6.4,105619,31.58,46,400,D208
306,Inherent Vice,"In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",2014,148,6.7,69509,8.09,81,401,D208
307,Alice Through the Looking Glass,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,2016,113,6.2,57207,77.04,34,402,D209
308,Vincent N Roxxy,A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.,2016,110,5.5,403,82.95637615,58.98504274,403,D210
309,The Fast and the Furious: Tokyo Drift,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,2006,104,6,193479,62.49,45,404,D211
310,How to Be Single,A group of young adults navigate love and relationships in New York City.,2016,110,6.1,59886,46.81,51,405,D212
311,The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",2009,129,7.7,237221,255.95,53,406,D213
312,La vie d'Adèle,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",2013,180,7.8,103150,2.2,88,407,D213
313,The Babadook,"A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.",2014,93,6.8,132580,0.92,86,408,D214
314,The Hobbit: The Battle of the Five Armies,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,2014,144,7.4,385598,255.11,59,409,D214
315,Harry Potter and the Order of the Phoenix,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",2007,138,7.5,385325,292,71,410,D215
316,Snowpiercer,"Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges.",2013,126,7,199048,4.56,84,411,D216
317,The 5th Wave,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.",2016,112,5.2,73093,34.91,33,412,D217
318,The Stakelander,"When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him.",2016,81,5.3,1263,82.95637615,58.98504274,413,D218
319,The Visit,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,2015,94,6.2,81429,65.07,55,414,D218
320,Fast Five,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,2011,131,7.3,300803,209.81,66,415,D219
321,Step Up,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",2006,104,6.5,95960,65.27,48,416,D220
322,Lovesong,The relationship between two friends deepens during an impromptu road trip.,2016,84,6.4,616,0.01,74,417,D221
323,RocknRolla,"In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »",2008,114,7.3,203096,5.69,53,418,D222
324,In Time,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",2011,109,6.7,319025,37.55,53,419,D223
325,The Social Network,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",2010,120,7.7,510100,96.92,95,420,D223
326,The Last Witch Hunter,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,2015,106,6,71149,27.36,34,421,D223
327,Victor Frankenstein,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.",2015,110,6,37975,5.77,36,422,D224
328,A Street Cat Named Bob,"Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat.",2016,103,7.4,12643,0.04,54,423,D224
329,Green Room,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,2015,95,7,62885,3.22,79,424,D225
330,Blackhat,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,2015,133,5.4,43085,7.1,51,425,D226
331,Storks,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",2016,87,6.9,34248,72.66,56,426,D227
332,American Sniper,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.",2014,133,7.3,353305,350.12,72,427,D227
333,Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",2013,117,8,352801,27.3,84,428,D228
334,Lincoln,"As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",2012,150,7.4,207497,182.2,86,429,D228
335,Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,2013,123,8.1,339722,26.9,75,430,D229
336,Before I Wake,A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.,2016,97,6.1,18201,82.95637615,58.98504274,431,D229
337,Silver Linings Playbook,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",2012,122,7.8,564364,132.09,81,432,D229
338,Tracktown,"A young, talented, and lonely long-distance runner twists her ankle as she prepares for the Olympic Trials and must do something she's never done before: take a day off.",2016,88,5.9,115,82.95637615,64,433,D230
339,The Fault in Our Stars,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,2014,126,7.8,271301,124.87,69,434,D231
340,Blended,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",2014,117,6.5,93764,46.28,31,435,D232
341,Fast & Furious,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",2009,107,6.6,217464,155.02,46,436,D233
342,Looper,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",2012,119,7.4,452369,66.47,84,437,D233
343,White House Down,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",2013,131,6.4,173320,73.1,52,438,D233
344,Pete's Dragon,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",2016,102,6.8,36322,76.2,71,439,D234
345,Spider-Man 3,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",2007,139,6.2,406219,336.53,59,440,D234
346,The Three Musketeers,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,2011,110,5.8,92329,20.32,35,441,D234
347,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",2007,127,7.7,220664,38.35,66,442,D234
348,American Hustle,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",2013,138,7.3,379088,150.12,90,443,D235
349,Jennifer's Body,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,2009,102,5.1,96617,16.2,47,444,D236
350,Midnight in Paris,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.",2011,94,7.7,320323,56.82,81,445,D237
351,Lady Macbeth,"Set in 19th century rural England, young bride who has been sold into marriage to a middle-aged man discovers an unstoppable desire within herself as she enters into an affair with a work on her estate.",2016,89,7.3,1396,82.95637615,83,446,D238
352,Joy,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",2015,124,6.6,97679,56.44,56,447,D238
353,The Dressmaker,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong.",2015,119,7.1,33352,2.02,47,448,D238
354,Café Society,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",2016,96,6.7,45579,11.08,64,449,D239
355,Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,2015,119,6.3,171970,130,42,450,D240
356,Seventh Son,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",2014,102,5.5,59958,17.18,30,451,D241
357,Demain tout commence,Samuel parties hard in the Marseille area of France and is awoken one morning by a woman carrying a baby she claims is his. She drives off leaving him with a wailing infant; he gives chase ... See full summary »,2016,118,7.4,5496,82.95637615,58.98504274,452,D242
358,The Theory of Everything,A look at the relationship between the famous physicist Stephen Hawking and his wife.,2014,123,7.7,299718,35.89,72,453,D243
359,This Is the End,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse.",2013,107,6.6,327838,101.47,67,454,D243
